design_id,primary_theme,prompt,recommended_product,etsy_title,etsy_tags,thumbnail_brief,mockup_brief,price_usd
SPAI-ETSY-001,Funny Frenchie,"Funny little French bulldog wearing sunglasses and a bucket hat, playful cartoon sticker style, bright colors",Unisex Tee,"Funny Frenchie Sunglasses T-Shirt | Cartoon Dog Gift for Pet Lovers","frenchie shirt;dog lover gift;funny dog tee;cartoon bulldog;pet owner gift;birthday dog gift;cute puppy shirt;streetwear dog style;print on demand tee;dog mom gift;dog dad gift;small business gift;gift for her","Close-up of frenchie face + sunglasses on clean white background with bright accent stroke.","Model wearing black tee outdoors, chest print visible, 3/4 angle + flat lay.",29.99
SPAI-ETSY-002,Pop Art Cat,"Vibrant pop-art cat portrait with halftone texture, neon splashes, centered composition, clean t-shirt graphic",Unisex Tee,"Pop Art Cat Graphic Tee | Neon Cat Shirt for Art Lovers","cat shirt;pop art tee;neon cat design;colorful cat gift;cat mom shirt;cat dad shirt;retro art shirt;animal lover gift;graphic tee women;graphic tee men;funny cat merch;gift for cat owner;modern streetwear","Square crop of neon cat portrait with halftone texture and bright cyan-magenta accents.","Black and white shirt mockups side-by-side with same print for contrast.",29.99
SPAI-ETSY-003,Golden Retriever Sunset,"Golden retriever smiling in retro 90s sunset stripes, vintage distressed print look, bold and friendly",Hoodie,"Golden Retriever Retro Sunset Hoodie | Dog Lover Vintage Sweatshirt","golden retriever;dog hoodie;retro sunset shirt;vintage dog design;pet lover gift;dog mom hoodie;dog dad hoodie;cozy dog sweatshirt;animal print hoodie;gift for dog owner;retro dog style;comfort hoodie;fall dog gift","Retriever portrait with retro stripes and distressed texture, warm orange palette.","Heather and black hoodie mockups with front print and folded detail shot.",52.00
SPAI-ETSY-004,Geisha Watercolor,"Elegant geisha-inspired portrait with cherry blossoms and lantern glow, watercolor and ink illustration",Canvas,"Geisha Watercolor Wall Art | Japanese Inspired Canvas Print","geisha wall art;japanese canvas;watercolor portrait;cherry blossom art;asian decor print;zen room decor;minimal wall decor;gift for art lover;japanese style art;boho wall canvas;home decor gift;living room art;bedroom wall art","Vertical portrait with cherry blossom accents and soft lantern glow in watercolor wash.","Styled interior mockup: canvas above sofa and close zoom on brush texture.",79.00
SPAI-ETSY-005,Koi Minimalist,"Minimalist koi fish yin-yang circle, Japanese tattoo inspired line art, black and red print style",Unisex Tee,"Minimalist Koi Fish Yin Yang Shirt | Japanese Line Art Tee","koi fish shirt;yin yang tee;minimal shirt;tattoo style tee;japanese line art;koi lover gift;zen fashion tee;red black shirt;streetwear minimal;gift for him;gift for her;simple graphic tee;anime inspired art","Centered koi yin-yang symbol with clean black/red line work on transparent background.","White and black tee mockup set, chest print close-up and full body shot.",31.00
SPAI-ETSY-006,Boho Celestial,"Boho celestial moon and stars with subtle constellation details, clean line art for premium tee print",Unisex Tee,"Boho Moon and Stars Shirt | Celestial Minimal Line Art Tee","boho moon shirt;celestial tee;star constellation shirt;witchy aesthetic tee;minimal line art;boho style top;moon phase shirt;astrology gift;spiritual shirt;gift for her;festival outfit;cosmic shirt;boho clothing","Moon and stars line art with subtle constellation dots on dark neutral background.","Earth-tone tee mockup on female model + folded product on linen texture.",30.00
SPAI-ETSY-007,Wildflower Quote,"Hand-painted wildflower bouquet with soft pastel tones and handwritten text Bloom at your pace",Tote Bag,"Bloom at Your Pace Tote Bag | Wildflower Pastel Botanical Design","tote bag floral;wildflower tote;botanical bag;self care gift;pastel aesthetic bag;flower market tote;gift for mom;gift for friend;eco tote bag;daily tote style;spring outfit bag;motivational quote;boho floral gift","Soft wildflower bouquet with handwritten quote, pastel palette and clean center composition.","Lifestyle mockup with tote carried in city street + flat lay with books and flowers.",24.00
SPAI-ETSY-008,Retro Mountain Badge,"Retro mountain adventure badge with pine trees and sunrise, national park poster style t-shirt graphic",Unisex Tee,"Retro Mountain Adventure Shirt | National Park Style Graphic Tee","mountain shirt;hiking tee;adventure graphic;national park shirt;outdoor lover gift;camping shirt;retro travel tee;pine tree design;nature shirt men;nature shirt women;explorer gift;road trip shirt;gift for hiker","Badge-style mountain emblem with sunrise rays and pine silhouettes, vintage print texture.","Model in outdoor scene wearing shirt + close-up badge print detail.",29.99
SPAI-ETSY-009,Cyberpunk Husky,"Cyberpunk husky portrait, neon accents, dark futuristic style",Poster,"Cyberpunk Husky Poster | Neon Dog Wall Art for Gamer Rooms","cyberpunk art;husky poster;neon dog wall art;gamer room decor;futuristic print;sci fi dog art;teen room poster;rgb wall decor;pet lover decor;tech aesthetic art;gift for gamer;gaming setup decor;digital vibe wall","Dark background husky portrait with electric cyan and magenta neon edge highlights.","Poster mockup in RGB desk setup + close-up texture crop.",21.00
SPAI-ETSY-010,Dachshund Chef,"Cute dachshund chef illustration, playful kitchen theme, family-friendly style",Mug,"Dachshund Chef Mug | Funny Dog Coffee Cup Gift","dog mug;dachshund mug;funny coffee cup;kitchen dog gift;pet lover mug;cute dog illustration;gift for mom;gift for coworker;office mug;tea cup gift;kitchen decor mug;dog lover present;small gift idea","Friendly dachshund chef with hat and whisk, bright kitchen-safe color palette.","Mug mockup with morning coffee scene + handle-side print visibility.",18.00
